Symbol,industry
UJJIVANSFB.NS,Banks—Regional
RPOWER.NS,Utilities—Independent Power Producers
DYCL.NS,Electrical Equipment & Parts
SAFARI.NS,Footwear & Accessories
ETHOSLTD.NS,Luxury Goods
VARDHACRLC.NS,Textile Manufacturing
PFIZER.NS,Drug Manufacturers—General
SIRCA.NS,Specialty Chemicals
VAISHALI.NS,Drug Manufacturers—Specialty & Generic
360ONE.NS,Asset Management
TI.NS,Beverages—Wineries & Distilleries
UNIPARTS.NS,Farm & Heavy Construction Machinery
SUTLEJTEX.NS,Textile Manufacturing
LAXMICOT.NS,Textile Manufacturing
KOTHARIPET.NS,Specialty Chemicals
SAH.NS,
RAJTV.NS,Broadcasting
MICEL.NS,Electronic Components
GEOJITFSL.NS,Capital Markets
PASUPTAC.NS,
ONWARDTEC.NS,Information Technology Services
EMBASSY-RR.NS,
GREENPOWER.NS,Utilities—Independent Power Producers
SHAHALLOYS.NS,Steel
AURUM.NS,Information Technology Services
DVL.NS,Capital Markets
RBL.NS,Auto Parts
PPLPHARMA.NS,Biotechnology
GLOBUSSPR.NS,Beverages—Wineries & Distilleries
SBGLP.NS,
DHANI.NS,Capital Markets
HNGSNGBEES.NS,
LIQUIDBEES.NS,
MARSHALL.NS,Specialty Industrial Machinery
STCINDIA.NS,Conglomerates
KRITINUT.NS,Packaged Foods
NIFTYBEES.NS,
KOTAKBKETF.NS,
SINDHUTRAD.NS,
TARSONS.NS,Medical Instruments & Supplies
KAJARIACER.NS,Building Products & Equipment
PGEL.NS,Electronic Components
MAXIND.NS,Medical Care Facilities
PFS.NS,Credit Services
ZUARIIND.NS,Conglomerates
ISEC.NS,Capital Markets
RAJESHEXPO.NS,Luxury Goods
SOLARA.NS,Drug Manufacturers—Specialty & Generic
ISGEC.NS,Specialty Industrial Machinery
VOLTAS.NS,Specialty Industrial Machinery
KABRAEXTRU.NS,Specialty Industrial Machinery
SHEMAROO.NS,Entertainment
SAREGAMA.NS,Entertainment
THOMASCOOK.NS,Travel Services
BANKBEES.NS,
RPPL.NS,Packaging & Containers
AVANTIFEED.NS,Packaged Foods
AWL.NS,Farm Products
INTELLECT.NS,Software—Application
HOMEFIRST.NS,Mortgage Finance
ITC.NS,Tobacco
NDL.NS,Textile Manufacturing
JINDALPOLY.NS,Specialty Chemicals
ORIENTCEM.NS,Building Materials
WOCKPHARMA.NS,Drug Manufacturers—Specialty & Generic
INDIGOPNTS.NS,Specialty Chemicals
