Symbol,industry
SANOFI.NS,Drug Manufacturers—General
AUROPHARMA.NS,Drug Manufacturers—Specialty & Generic
KIRLOSBROS.NS,Specialty Industrial Machinery
BHARATFORG.NS,Auto Parts
HCC.NS,Engineering & Construction
NHPC.NS,Utilities—Renewable
DABUR.NS,Household & Personal Products
ZEEL.NS,Broadcasting
TCS.NS,Information Technology Services
AMBUJACEM.NS,Building Materials
LGBBROSLTD.NS,Auto Parts
FMGOETZE.NS,Auto Parts
NBCC.NS,Engineering & Construction
HAL.NS,Aerospace & Defense
SBIN.NS,Banks—Regional
CARBORUNIV.NS,Conglomerates
BERGEPAINT.NS,Specialty Chemicals
DSSL.NS,Information Technology Services
GODREJAGRO.NS,Farm Products
AEGISCHEM.NS,Oil & Gas Refining & Marketing
FILATEX.NS,Textile Manufacturing
DRREDDY.NS,Drug Manufacturers—Specialty & Generic
APOLLOHOSP.NS,Medical Care Facilities
CAMS.NS,Information Technology Services
SUNFLAG.NS,Steel
SCHAEFFLER.NS,Auto Parts
KOTAKBANK.NS,Banks—Regional
GREAVESCOT.NS,Specialty Industrial Machinery
BEPL.NS,Chemicals
RELINFRA.NS,Utilities—Regulated Electric
CARERATING.NS,Financial Data & Stock Exchanges
EIDPARRY.NS,Confectioners
YESBANK.NS,Banks—Regional
DREDGECORP.NS,Engineering & Construction
RHIM.NS,Metal Fabrication
FINCABLES.NS,Electrical Equipment & Parts
SIEMENS.NS,Specialty Industrial Machinery
GALAXYSURF.NS,Specialty Chemicals
FACT.NS,Agricultural Inputs
HDFCBANK.NS,Banks—Regional
CIPLA.NS,Drug Manufacturers—General
JOCIL.NS,Specialty Chemicals
KOTAKNIFTY.NS,
TARC.NS,Real Estate—Development
GLAXO.NS,Drug Manufacturers—General
MOLDTECH.NS,Engineering & Construction
ONGC.NS,Oil & Gas Integrated
FINPIPE.NS,Building Products & Equipment
GSFC.NS,Agricultural Inputs
RAJSREESUG.NS,Confectioners
SUBROS.NS,Auto Parts
VISHNU.NS,Specialty Chemicals
LGBFORGE.NS,Metal Fabrication
LLOYDSME.NS,
LICI.NS,Insurance—Life
HCL-INSYS.NS,Electronics & Computer Distribution
BSLNIFTY.NS,
DELPHIFX.NS,Capital Markets
LTGILTBEES.NS,
SETFNIFBK.NS,
SANGHIIND.NS,Building Materials
RBA.NS,Restaurants
HEMIPROP.NS,Real Estate—Diversified
PAVNAIND.NS,
IRFC.NS,Credit Services
M&M.NS,Auto Manufacturers
CHOLAFIN.NS,Credit Services
ESTER.NS,Specialty Chemicals
INDUSTOWER.NS,Telecom Services
DEEPENR.NS,Oil & Gas Equipment & Services
ADFFOODS.NS,Packaged Foods
INDTERRAIN.NS,Apparel Manufacturing
SDBL.NS,Beverages—Brewers
CEATLTD.NS,Auto Parts
RBLBANK.NS,Banks—Regional
BGRENERGY.NS,Engineering & Construction
HUDCO.NS,Credit Services
BAJAJ-AUTO.NS,Auto Manufacturers
TIJARIA.NS,Building Products & Equipment
JKIL.NS,Engineering & Construction
ABCAPITAL.NS,Financial Conglomerates
HONASA.NS,Household & Personal Products
POLYCAB.NS,Electrical Equipment & Parts
BIOCON.NS,Biotechnology
IEX.NS,Capital Markets
COALINDIA.NS,Thermal Coal
TBZ.NS,Luxury Goods
CONSOFINVT.NS,Capital Markets
ATL.NS,Integrated Freight & Logistics
SPECIALITY.NS,Restaurants
KECL.NS,Specialty Industrial Machinery
NAGAFERT.NS,Agricultural Inputs
CENTUM.NS,Electronic Components
VIKASECO.NS,Specialty Chemicals
AVALON.NS,
MANGCHEFER.NS,Agricultural Inputs
BIGBLOC.NS,Building Products & Equipment
RECLTD.NS,Credit Services
OMAXAUTO.NS,Auto Parts
NITINSPIN.NS,Textile Manufacturing
BHANDARI.NS,Apparel Manufacturing
ESAFSFB.NS,Banks - Regional
HINDMOTORS.NS,Auto Manufacturers
RELIANCE.NS,Oil & Gas Refining & Marketing
ONMOBILE.NS,Telecom Services
DCAL.NS,Biotechnology
IOLCP.NS,Drug Manufacturers—Specialty & Generic
BHAGYANGR.NS,Copper
DELHIVERY.NS,Integrated Freight & Logistics
KAMDHENU.NS,Steel
TEXMOPIPES.NS,Building Products & Equipment
PPAP.NS,Auto Parts
ITDC.NS,Lodging
BIRLAMONEY.NS,Capital Markets
DEEPAKFERT.NS,Chemicals
FLAIR.NS,Business Equipment & Supplies
LOKESHMACH.NS,Specialty Industrial Machinery
SPCENET.NS,Capital Markets
BALKRISIND.NS,Auto Parts
VIVIDHA.NS,Textile Manufacturing
IGARASHI.NS,Auto Parts
ASKAUTOLTD.NS,Auto Parts
ZUARI.NS,Agricultural Inputs
CAREERP.NS,Conglomerates
NAVINFLUOR.NS,Chemicals
DBL.NS,Engineering & Construction
RELAXO.NS,Footwear & Accessories
JAIBALAJI.NS,Steel
WABAG.NS,Waste Management
PIIND.NS,Agricultural Inputs
GANDHAR.NS,Oil & Gas Refining & Marketing
HINDUNILVR.NS,Household & Personal Products
SMSLIFE.NS,Biotechnology
RIIL.NS,Engineering & Construction
RAYMOND.NS,Textile Manufacturing
ESSARSHPNG.NS,Marine Shipping
KNRCON.NS,Engineering & Construction
CANFINHOME.NS,Mortgage Finance
JINDRILL.NS,Oil & Gas Equipment & Services
LICHSGFIN.NS,Mortgage Finance
NSLNISP.NS,Steel
KPIGREEN.NS,Utilities—Renewable
OMAXE.NS,Real Estate—Development
KOLTEPATIL.NS,Real Estate—Development
JKTYRE.NS,Auto Parts
RUSHIL.NS,Furnishings, Fixtures & Appliances
GNFC.NS,Chemicals
NELCAST.NS,Metal Fabrication
REPCOHOME.NS,Mortgage Finance
POCL.NS,
GRAVITA.NS,Metal Fabrication
CGCL.NS,Credit Services
RTNINDIA.NS,Utilities—Independent Power Producers
AHLUCONT.NS,Engineering & Construction
PLASTIBLEN.NS,Specialty Chemicals
ROSSARI.NS,Specialty Chemicals
MANINFRA.NS,Engineering & Construction
SIS.NS,Security & Protection Services
MHRIL.NS,Resorts & Casinos
NESCO.NS,Conglomerates
PNB.NS,Banks—Regional
BBTC.NS,Packaged Foods
INFY.NS,Information Technology Services
ATUL.NS,Specialty Chemicals
GTPL.NS,Entertainment
GPPL.NS,Marine Shipping
POWERGRID.NS,Utilities—Regulated Electric
DLINKINDIA.NS,Communication Equipment
MCDOWELL-N.NS,Beverages—Wineries & Distilleries
VADILALIND.NS,Packaged Foods
CYIENTDLM.NS,
DCW.NS,Chemicals
KOTARISUG.NS,Confectioners
LEXUS.NS,
PSUBNKBEES.NS,
TVSHLTD.NS,Auto Parts
BEL.NS,Aerospace & Defense
ELECTCAST.NS,Steel
GLAND.NS,Drug Manufacturers—General
LAURUSLABS.NS,Drug Manufacturers—Specialty & Generic
SUPREMEIND.NS,Building Products & Equipment
SURANASOL.NS,Solar
ICICIBANK.NS,Banks—Regional
HDFCAMC.NS,Asset Management
ZENSARTECH.NS,Information Technology Services
GAIL.NS,Utilities—Regulated Gas
TECHM.NS,Information Technology Services
NTPC.NS,Utilities—Independent Power Producers
BALRAMCHIN.NS,Confectioners
OFSS.NS,Software—Infrastructure
SUBEXLTD.NS,Software—Application
MOTILALOFS.NS,Capital Markets
BAJAJCON.NS,Household & Personal Products
SUPERHOUSE.NS,Footwear & Accessories
COFORGE.NS,Information Technology Services
SALASAR.NS,Steel
BHARTIARTL.NS,Telecom Services
ICICIGI.NS,Insurance—Diversified
WIPRO.NS,Information Technology Services
PAGEIND.NS,Apparel Manufacturing
CDSL.NS,Capital Markets
NCLIND.NS,Building Materials
GUJGASLTD.NS,Utilities—Regulated Gas
BSOFT.NS,Information Technology Services
IRCTC.NS,Railroads
CSBBANK.NS,Banks—Regional
COLPAL.NS,Household & Personal Products
HFCL.NS,Communication Equipment
BOROLTD.NS,Furnishings, Fixtures & Appliances
UBL.NS,Beverages—Brewers
RAMKY.NS,Engineering & Construction
SCHAND.NS,Publishing
MPHASIS.NS,Information Technology Services
RUPA.NS,Apparel Manufacturing
RITES.NS,Engineering & Construction
HPL.NS,Electrical Equipment & Parts
KDDL.NS,Luxury Goods
JWL.NS,Railroads
JASH.NS,Specialty Industrial Machinery
TATAPOWER.NS,Utilities—Independent Power Producers
BHARATWIRE.NS,Steel
DMART.NS,Discount Stores
SHANKARA.NS,Home Improvement Retail
UNOMINDA.NS,Auto Parts
MARUTI.NS,Auto Manufacturers
ADANIPORTS.NS,Marine Shipping
AARVI.NS,Staffing & Employment Services
PDMJEPAPER.NS,Paper & Paper Products
CROMPTON.NS,Furnishings, Fixtures & Appliances
JYOTHYLAB.NS,Household & Personal Products
TEJASNET.NS,Communication Equipment
AMBIKCO.NS,Textile Manufacturing
ERIS.NS,Drug Manufacturers—Specialty & Generic
APEX.NS,Farm Products
UGARSUGAR.NS,Confectioners
AURIONPRO.NS,Software—Infrastructure
BLISSGVS.NS,Drug Manufacturers—Specialty & Generic
NAHARSPING.NS,Textile Manufacturing
THEINVEST.NS,Capital Markets
DONEAR.NS,Textile Manufacturing
VERTOZ.NS,Advertising Agencies
GOKUL.NS,Packaged Foods
LAOPALA.NS,Furnishings, Fixtures & Appliances
HMVL.NS,Publishing
IMFA.NS,Steel
AVADHSUGAR.NS,Confectioners
ULTRACEMCO.NS,Building Materials
MAGNUM.NS,Paper & Paper Products
DIAMONDYD.NS,Packaged Foods
NUCLEUS.NS,Software—Application
ADANIPOWER.NS,Utilities—Independent Power Producers
DOLLAR.NS,Apparel Manufacturing
HINDALCO.NS,Aluminum
INDIGO.NS,Airlines
OSWALSEEDS.NS,
VASWANI.NS,Steel
DBCORP.NS,Publishing
PITTIENG.NS,Metal Fabrication
DLF.NS,Real Estate—Development
STEL.NS,Farm Products
QUICKHEAL.NS,Software—Application
SWANENERGY.NS,Textile Manufacturing
ICICIPRULI.NS,Insurance—Life
AXISGOLD.NS,
KAMOPAINTS.NS,
AARTECH.NS,
GODREJPROP.NS,Real Estate—Development
JETFREIGHT.NS,Integrated Freight & Logistics
MANORAMA.NS,Packaged Foods
RAIN.NS,Chemicals
BCLIND.NS,Household & Personal Products
INFOBEAN.NS,Software—Application
ALLCARGO.NS,Integrated Freight & Logistics
BALKRISHNA.NS,Packaging & Containers
DIXON.NS,Consumer Electronics
AXITA.NS,Textile Manufacturing
ANURAS.NS,Specialty Chemicals
PVRINOX.NS,Entertainment
SUMICHEM.NS,Agricultural Inputs
DREAMFOLKS.NS,Airports & Air Services
CONFIPET.NS,Oil & Gas Refining & Marketing
BANCOINDIA.NS,Auto Parts
LALPATHLAB.NS,Diagnostics & Research
COASTCORP.NS,Packaged Foods
SGL.NS,Textile Manufacturing
ACI.NS,Chemicals
GENESYS.NS,Software—Application
FLUOROCHEM.NS,Chemicals
GOLDIAM.NS,Luxury Goods
NDTV.NS,Broadcasting
CREATIVE.NS,Electronics & Computer Distribution
JISLJALEQS.NS,Farm & Heavy Construction Machinery
NESTLEIND.NS,Packaged Foods
GRINFRA.NS,Engineering & Construction
MID150BEES.NS,
RSYSTEMS.NS,Information Technology Services
PEL.NS,Drug Manufacturers—Specialty & Generic
CIGNITITEC.NS,Information Technology Services
PRIVISCL.NS,Specialty Chemicals
JINDALPHOT.NS,Asset Management
BLKASHYAP.NS,Engineering & Construction
JHS.NS,Household & Personal Products
SHILPAMED.NS,Drug Manufacturers—Specialty & Generic
CAMLINFINE.NS,Specialty Chemicals
NAVKARCORP.NS,Integrated Freight & Logistics
JSWHL.NS,Conglomerates
WSI.NS,Electrical Equipment & Parts
AETHER.NS,Specialty Chemicals
OSIAHYPER.NS,Department Stores
ELGIEQUIP.NS,Specialty Industrial Machinery
CAMPUS.NS,Footwear & Accessories
AIRAN.NS,Information Technology Services
APTECHT.NS,Education & Training Services
ARVSMART.NS,Real Estate—Development
IMPAL.NS,Auto Parts
LIBAS.NS,Apparel Manufacturing
PIDILITIND.NS,Specialty Chemicals
KAYNES.NS,Specialty Industrial Machinery
UJJIVAN.NS,Credit Services
LTFOODS.NS,Packaged Foods
BALAJITELE.NS,Entertainment
BASML.NS,Textile Manufacturing
BAJAJFINSV.NS,Financial Conglomerates
DHARMAJ.NS,Agricultural Inputs
SWELECTES.NS,Solar
SIYSIL.NS,Textile Manufacturing
FIEMIND.NS,Auto Parts
VIRINCHI.NS,
VIPCLOTHNG.NS,Apparel Manufacturing
JMFINANCIL.NS,Capital Markets
GANESHHOUC.NS,Real Estate—Development
NILAINFRA.NS,Real Estate—Development
BLBLIMITED.NS,Capital Markets
ANMOL.NS,Thermal Coal
TREL.NS,Rental & Leasing Services
RUCHIRA.NS,Paper & Paper Products
DOLATALGO.NS,Capital Markets
RADIANTCMS.NS,
UNIVPHOTO.NS,Medical Devices
EXCELINDUS.NS,Specialty Chemicals
ALPA.NS,Drug Manufacturers—Specialty & Generic
RELIGARE.NS,Capital Markets
DEVYANI.NS,Restaurants
SUNPHARMA.NS,Drug Manufacturers—Specialty & Generic
GVKPIL.NS,Airports & Air Services
SSWL.NS,Auto Parts
LUXIND.NS,Apparel Manufacturing
VOLTAMP.NS,Electrical Equipment & Parts
MAHESHWARI.NS,Integrated Freight & Logistics
ENIL.NS,Broadcasting
IIFLSEC.NS,Capital Markets
CMSINFO.NS,Specialty Business Services
APOLSINHOT.NS,Lodging
CAPLIPOINT.NS,Drug Manufacturers—Specialty & Generic
HEROMOTOCO.NS,Auto Manufacturers
TATAELXSI.NS,Software—Application
NECLIFE.NS,Drug Manufacturers—Specialty & Generic
THYROCARE.NS,Diagnostics & Research
CENTURYPLY.NS,Furnishings, Fixtures & Appliances
ELECON.NS,Specialty Industrial Machinery
TCIEXP.NS,Integrated Freight & Logistics
WHIRLPOOL.NS,Furnishings, Fixtures & Appliances
ACE.NS,Farm & Heavy Construction Machinery
NIITLTD.NS,Education & Training Services
AUBANK.NS,Banks—Regional
GSS.NS,Information Technology Services
JKLAKSHMI.NS,Building Materials
INDHOTEL.NS,Lodging
BBL.NS,Electrical Equipment & Parts
DCBBANK.NS,Banks—Regional
COFFEEDAY.NS,Restaurants
POONAWALLA.NS,Credit Services
AUTOIND.NS,Auto Parts
FSL.NS,Information Technology Services
ALLSEC.NS,Specialty Business Services
ASAL.NS,Auto Parts
ASTRAMICRO.NS,Communication Equipment
TRF.NS,Specialty Industrial Machinery
BALAMINES.NS,Specialty Chemicals
ISMTLTD.NS,Steel
HBLPOWER.NS,Electrical Equipment & Parts
OAL.NS,Specialty Chemicals
CALSOFT.NS,Software—Application
TIMETECHNO.NS,Packaging & Containers
AAREYDRUGS.NS,Drug Manufacturers—Specialty & Generic
MONARCH.NS,Capital Markets
SEPC.NS,Engineering & Construction
SOBHA.NS,Real Estate—Development
ASTRAZEN.NS,Drug Manufacturers—Specialty & Generic
ALKYLAMINE.NS,Specialty Chemicals
MEDICO.NS,Drug Manufacturers—Specialty & Generic
SCHNEIDER.NS,Specialty Industrial Machinery
RGL.NS,Luxury Goods
CLSEL.NS,
ECLERX.NS,Information Technology Services
ASAHIINDIA.NS,Auto Parts
HINDWAREAP.NS,Furnishings, Fixtures & Appliances
BBOX.NS,Software—Application
DCI.NS,Electronics & Computer Distribution
VGUARD.NS,Electrical Equipment & Parts
ABBOTINDIA.NS,Drug Manufacturers—General
GRANULES.NS,Drug Manufacturers—Specialty & Generic
UTTAMSUGAR.NS,Confectioners
GOKEX.NS,Apparel Manufacturing
ICIL.NS,Textile Manufacturing
LUPIN.NS,Drug Manufacturers—Specialty & Generic
TIIL.NS,Tools & Accessories
SOLARINDS.NS,Specialty Chemicals
GSPL.NS,Utilities—Regulated Gas
RAMANEWS.NS,Paper & Paper Products
JAGRAN.NS,Publishing
VASCONEQ.NS,Engineering & Construction
SPAL.NS,Apparel Manufacturing
SARLAPOLY.NS,Textile Manufacturing
ZEEMEDIA.NS,Broadcasting
KRBL.NS,Packaged Foods
OBCL.NS,Trucking
AHL.NS,
GREENPANEL.NS,Furnishings, Fixtures & Appliances
KKCL.NS,Apparel Manufacturing
ELIN.NS,
SELAN.NS,Oil & Gas E&P
SHALPAINTS.NS,Specialty Chemicals
ABSLBANETF.NS,
ARCHIES.NS,Specialty Retail
SENCO.NS,
IDEAFORGE.NS,
ARIHANTCAP.NS,Capital Markets
JUNIORBEES.NS,
PILANIINVS.NS,Asset Management
CPSEETF.NS,
SECURKLOUD.NS,Software—Application
FINOPB.NS,Banks—Regional
VENKEYS.NS,Farm Products
NIPPOBATRY.NS,Electrical Equipment & Parts
ASHIMASYN.NS,Textile Manufacturing
PRITIKAUTO.NS,Specialty Industrial Machinery
JUBLINDS.NS,Specialty Chemicals
LAMBODHARA.NS,Textile Manufacturing
SHAILY.NS,Medical Instruments & Supplies
GODREJCP.NS,Household & Personal Products
ARROWGREEN.NS,Packaging & Containers
RKFORGE.NS,Tools & Accessories
RPSGVENT.NS,Information Technology Services
NIF100BEES.NS,
RUBYMILLS.NS,Textile Manufacturing
ARVIND.NS,Textile Manufacturing
PANSARI.NS,Real Estate—Development
JAIPURKURT.NS,
IRISDOREME.NS,Apparel Manufacturing
DIGJAMLMTD.NS,
AKZOINDIA.NS,Specialty Chemicals
MACPOWER.NS,Specialty Industrial Machinery
VINDHYATEL.NS,Engineering & Construction
MRF.NS,Auto Parts
SMARTLINK.NS,Communication Equipment
BRITANNIA.NS,Packaged Foods
FAIRCHEMOR.NS,Specialty Chemicals
RAMCOSYS.NS,Software—Application
LINC.NS,Business Equipment & Supplies
ASIANTILES.NS,Building Products & Equipment
JAYBARMARU.NS,Auto Parts
LASA.NS,Drug Manufacturers—Specialty & Generic
ASHAPURMIN.NS,Other Industrial Metals & Mining
KOTHARIPRO.NS,Conglomerates
MONTECARLO.NS,Apparel Manufacturing
PNCINFRA.NS,Engineering & Construction
DIL.NS,Farm & Heavy Construction Machinery
OSWALAGRO.NS,Real Estate—Development
GEPIL.NS,Engineering & Construction
AVROIND.NS,Furnishings, Fixtures & Appliances
ZOTA.NS,Biotechnology
ARENTERP.NS,Other Industrial Metals & Mining
ARIES.NS,Agricultural Inputs
ADVANIHOTR.NS,Lodging
MUTHOOTFIN.NS,Credit Services
STERTOOLS.NS,Tools & Accessories
CONTROLPR.NS,Business Equipment & Supplies
SMLISUZU.NS,Auto Manufacturers
SUKHJITS.NS,Specialty Chemicals
GANECOS.NS,Textile Manufacturing
GENSOL.NS,
DYNPRO.NS,Specialty Chemicals
MAGADSUGAR.NS,Confectioners
INDOBORAX.NS,Chemicals
NIRAJ.NS,Engineering & Construction
IFBAGRO.NS,Beverages—Wineries & Distilleries
MEDICAMEQ.NS,Drug Manufacturers—Specialty & Generic
UNICHEMLAB.NS,Drug Manufacturers—Specialty & Generic
JUBLFOOD.NS,Restaurants
PUNJABCHEM.NS,Chemicals
CELEBRITY.NS,Apparel Manufacturing
TEAMLEASE.NS,Staffing & Employment Services
SPENCERS.NS,Department Stores
SANGINITA.NS,Chemicals
TRIGYN.NS,Information Technology Services
DPWIRES.NS,Metal Fabrication
ASTRON.NS,Paper & Paper Products
AMRUTANJAN.NS,Drug Manufacturers—Specialty & Generic
SOTL.NS,Specialty Chemicals
EVERESTIND.NS,Building Products & Equipment
ABB.NS,Specialty Industrial Machinery
GMBREW.NS,Beverages—Wineries & Distilleries
EROSMEDIA.NS,Entertainment
JAYAGROGN.NS,Specialty Chemicals
CERA.NS,Building Products & Equipment
VETO.NS,Electrical Equipment & Parts
GATEWAY.NS,Integrated Freight & Logistics
BEDMUTHA.NS,Steel
PRECOT.NS,Textile Manufacturing
ZIMLAB.NS,Drug Manufacturers—Specialty & Generic
HARDWYN.NS,Building Products & Equipment
SAKUMA.NS,Farm Products
MODISONLTD.NS,Electrical Equipment & Parts
IRIS.NS,Software—Application
BOMDYEING.NS,Textile Manufacturing
SASKEN.NS,Information Technology Services
AHLADA.NS,Building Products & Equipment
VIMTALABS.NS,Diagnostics & Research
XPROINDIA.NS,Specialty Chemicals
HAVELLS.NS,Electrical Equipment & Parts
ALBERTDAVD.NS,Drug Manufacturers—Specialty & Generic
ROHLTD.NS,Lodging
KESORAMIND.NS,Building Materials
SALSTEEL.NS,Steel
RELCHEMQ.NS,Textile Manufacturing
INDOAMIN.NS,Chemicals
KCP.NS,Building Materials
PRECWIRE.NS,Electrical Equipment & Parts
HUHTAMAKI.NS,Packaging & Containers
DYNAMATECH.NS,Auto Parts
CANTABIL.NS,Apparel Manufacturing
ALKEM.NS,Drug Manufacturers—Specialty & Generic
ALKALI.NS,Specialty Chemicals
DENORA.NS,Electrical Equipment & Parts
HLEGLAS.NS,Specialty Industrial Machinery
PGHH.NS,Household & Personal Products
INDNIPPON.NS,Auto Parts
INVENTURE.NS,Capital Markets
BAJAJELEC.NS,Furnishings, Fixtures & Appliances
SERVOTECH.NS,Diversified Electronics
GARFIBRES.NS,Textile Manufacturing
DHUNINV.NS,Capital Markets
STEELCAS.NS,Steel
VISAKAIND.NS,Building Products & Equipment
PILITA.NS,Furnishings, Fixtures & Appliances
ALPHAGEO.NS,Oil & Gas Equipment & Services
ACCELYA.NS,Information Technology Services
KINGFA.NS,Specialty Chemicals
GNA.NS,Auto Parts
SURYAROSNI.NS,Steel
GILLANDERS.NS,Conglomerates
KHAICHEM.NS,
ABSLAMC.NS,Asset Management
CHEMCON.NS,Specialty Chemicals
SAPPHIRE.NS,Restaurants
LIBERTSHOE.NS,Footwear & Accessories
BFUTILITIE.NS,Utilities—Renewable
ELDEHSG.NS,Real Estate Services
SOMANYCERA.NS,Building Products & Equipment
APLLTD.NS,Drug Manufacturers—Specialty & Generic
SHYAMCENT.NS,Steel
ORBTEXP.NS,Textile Manufacturing
NURECA.NS,Medical Devices
AXISNIFTY.NS,
HINDCOMPOS.NS,Auto Parts
GFLLIMITED.NS,Entertainment
AUSOMENT.NS,Capital Markets
STARTECK.NS,Credit Services
MAHSCOOTER.NS,Auto Parts
IPL.NS,Agricultural Inputs
MOKSH.NS,Luxury Goods
BAJAJHLDNG.NS,Asset Management
BFINVEST.NS,Asset Management
PALASHSECU.NS,Packaged Foods
SATINDLTD.NS,
MASPTOP50.NS,
DICIND.NS,Specialty Chemicals
CENTRUM.NS,Financial Conglomerates
DEVIT.NS,Information Technology Services
ADVENZYMES.NS,Specialty Chemicals
CCHHL.NS,Lodging
PNC.NS,Entertainment
IWEL.NS,Specialty Industrial Machinery
HCG.NS,Medical Care Facilities
BIRLACORPN.NS,Building Materials
EPIGRAL.NS,Chemicals
HERCULES.NS,Specialty Industrial Machinery
ISFT.NS,Internet Retail
COSMOFIRST.NS,Packaging & Containers
PFOCUS.NS,Entertainment
MEGASTAR.NS,Packaged Foods
PVP.NS,Conglomerates
AIROLAM.NS,Furnishings, Fixtures & Appliances
NAHARPOLY.NS,Packaging & Containers
GUFICBIO.NS,Drug Manufacturers—Specialty & Generic
SRHHYPOLTD.NS,Chemicals
AJOONI.NS,Packaged Foods
NRL.NS,
GRMOVER.NS,Packaged Foods
HPAL.NS,Specialty Chemicals
AVG.NS,
DIGISPICE.NS,Information Technology Services
PATINTLOG.NS,Integrated Freight & Logistics
AMJLAND.NS,Real Estate—Development
TEMBO.NS,Metal Fabrication
NETWORK18.NS,Broadcasting
NAHARINDUS.NS,Textile Manufacturing
MUNJALAU.NS,Auto Parts
SIMBHALS.NS,Confectioners
TCI.NS,Integrated Freight & Logistics
IGPL.NS,Specialty Chemicals
ATFL.NS,Packaged Foods
AKSHARCHEM.NS,Specialty Chemicals
AWHCL.NS,Waste Management
RAJRATAN.NS,Steel
PIONEEREMB.NS,Textile Manufacturing
HBSL.NS,Capital Markets
CCL.NS,Packaged Foods
BANARISUG.NS,Confectioners
NILKAMAL.NS,Furnishings, Fixtures & Appliances
BAJAJHCARE.NS,Drug Manufacturers—Specialty & Generic
PRIMESECU.NS,Capital Markets
RML.NS,Auto Parts
HOVS.NS,Information Technology Services
RHL.NS,
PRAKASH.NS,Steel
CYBERMEDIA.NS,Publishing
INTLCONV.NS,Machinery, Tools, Heavy Vehicles, Trains & Ships
INDIGRID-IV.NS,
GUJALKALI.NS,Chemicals
RACE.NS,
MANOMAY.NS,
RATNAMANI.NS,Steel
VALIANTORG.NS,Chemicals
CHALET.NS,Lodging
SHAREINDIA.NS,Capital Markets
DCMNVL.NS,Textile Manufacturing
SURYALAXMI.NS,Textile Manufacturing
KMSUGAR.NS,Confectioners
MITCON.NS,Engineering & Construction
GUJAPOLLO.NS,Specialty Industrial Machinery
VSTTILLERS.NS,Farm & Heavy Construction Machinery
CHEMFAB.NS,Specialty Chemicals
KOTAKIT.NS,
KIRLPNU.NS,
CHOLAHLDNG.NS,Credit Services
MAFANG.NS,
AARON.NS,Specialty Industrial Machinery
SURANAT&P.NS,Utilities—Independent Power Producers
AKSHAR.NS,Textile Manufacturing
MANGALAM.NS,Drug Manufacturers—Specialty & Generic
LOTUSEYE.NS,Medical Care Facilities
BIOFILCHEM.NS,Drug Manufacturers—Specialty & Generic
NITIRAJ.NS,Scientific & Technical Instruments
ZYDUSWELL.NS,Packaged Foods
MEP.NS,Infrastructure Operations
VENUSREM.NS,Drug Manufacturers—Specialty & Generic
PRUDENT.NS,Asset Management
ASALCBR.NS,Beverages—Wineries & Distilleries
LAL.NS,
PGIL.NS,Apparel Manufacturing
GEECEE.NS,Real Estate—Development
APCOTEXIND.NS,Specialty Chemicals
VMART.NS,Department Stores
MAHEPC.NS,Farm & Heavy Construction Machinery
MANAKSIA.NS,Metal Fabrication
GRINDWELL.NS,Building Products & Equipment
ASHIANA.NS,Real Estate—Development
BUTTERFLY.NS,Furnishings, Fixtures & Appliances
UNIDT.NS,Oil & Gas Equipment & Services
PURVA.NS,Real Estate—Development
TERASOFT.NS,Information Technology Services
REFEX.NS,Thermal Coal
RPGLIFE.NS,Drug Manufacturers—Specialty & Generic
HTMEDIA.NS,Publishing
CLEDUCATE.NS,Education & Training Services
POWERMECH.NS,Engineering & Construction
GAEL.NS,Packaged Foods
INDRAMEDCO.NS,Medical Care Facilities
OILCOUNTUB.NS,Oil & Gas Equipment & Services
ALMONDZ.NS,Capital Markets
NATHBIOGEN.NS,Agricultural Inputs
MIRCELECTR.NS,Furnishings, Fixtures & Appliances
DUCON.NS,Specialty Industrial Machinery
ASIANENE.NS,Oil & Gas Equipment & Services
VHL.NS,Credit Services
INDIANHUME.NS,Engineering & Construction
PEARLPOLY.NS,Packaging & Containers
3MINDIA.NS,Conglomerates
RSWM.NS,Textile Manufacturing
AKSHOPTFBR.NS,Communication Equipment
THANGAMAYL.NS,Luxury Goods
STARCEMENT.NS,Building Materials
SARDAEN.NS,Steel
FOSECOIND.NS,Chemicals
FOCUS.NS,Furnishings, Fixtures & Appliances
